Year,Month,RTMean,ASMean,Temperature_Difference
2018,09,70.49032649640642,69.8838537243887,0.6064727720079025
2018,10,67.026567784289,65.7656635300757,1.260904254231401
2018,11,64.58712035079918,63.919568585964555,0.6675517648560666
2018,12,66.06059573645787,65.35146522619851,0.7091305102732378
2019,01,68.3168171646189,68.85079147315588,-0.5339743085153305
2019,02,68.85107889202358,68.98912606219959,-0.13804717016348886
2019,03,69.55113723848497,68.99871065633198,0.5524265821555303
2019,04,70.65631584449453,69.0,1.6563158444936619
2019,05,69.70273157658502,68.70212577037482,1.0006058062146492
2019,06,69.29532863386447,68.75296341511441,0.5423652187610472
2019,07,70.35296178256519,68.98387839880591,1.3690833837850915
2019,08,69.45813755061234,68.97140911166164,0.48672843895247364
2019,09,68.36160114082519,68.19881563915851,0.1627855016825104
2019,10,66.86225070596267,66.04220624461757,0.820044461356816
2019,11,67.45116733940536,66.89778586593873,0.5533814734452498
2019,12,67.51949305477653,67.05932457224156,0.46016848253401477
2020,01,67.53441959957034,67.0532129612513,0.4812066383217176
2020,02,67.52370524040066,67.00581188854089,0.5178933518453911
2020,03,68.23864005188648,67.14268649678776,1.095953555079311
2020,04,68.12031539205408,67.17543729761955,0.9448780943989487
2020,05,69.18038221786938,67.81532312497518,1.365059092894337
2020,06,71.28347285283515,70.72036008427504,0.5631127685703465
2020,07,71.58138240072715,70.83966840306951,0.7417139976476661
2020,08,71.36681356186227,70.68371151033267,0.6831020515321221
2020,09,70.44511928232393,69.59060150521557,0.854517777115117
2020,10,68.72097080852255,67.63309489569131,1.0878759128175817
2020,11,68.61475590746687,67.00205275424055,1.6127031532151122
2020,12,68.35660073545286,67.00723470862698,1.349366026826615
2021,01,68.09664022754394,66.92723708176688,1.1694031457770766
2021,02,67.73392655496876,67.0,0.7339265549689681
2021,03,68.92190818767315,67.2173630689662,1.7045451187025895
2021,04,69.48715751171231,67.3752177447451,2.111939766964329
2021,05,70.5057008413124,68.96228840957254,1.5434124317426667
2021,06,72.49270443095291,71.56355767988632,0.9291467510656923
2021,07,72.2394019909342,71.28819450763436,0.9512074833027506
2021,08,72.60958602818525,72.8270209315763,-0.21743490335688287
2021,09,71.50092062847745,71.01704026577286,0.4838803627227102
2021,10,69.39298088067788,68.46788377998178,0.925097100692664
2021,11,68.29899313104244,67.06403790974697,1.2349552212847892
2021,12,68.21321423213487,67.01749587415897,1.1957183579728203
2022,01,68.55070460993797,67.89073775489972,0.6599668550867921
2022,02,68.72401577766462,68.00919206019148,0.7148237174847345
